pitch,mph,exit_velocty,pitcher,batter,dist,spin_rate,launch_angle,zone,date,count,inning,pitch_result,pitch_id
FF,95.8,110.3,"Darvish, Yu","Springer, George",438,2503,20,8,2017-11-01,3-2,Top 2,hit_into_play,7f4c6a58-6d83-42e6-8d38-55ed21e41644
SL,83.8,,"Darvish, Yu","Springer, George",,2522,,5,2017-11-01,3-1,Top 2,swinging_strike,d9b973b3-8dd2-4dbc-b5eb-9c315c59d29e
CU,71.8,,"Darvish, Yu","Springer, George",,2347,,14,2017-11-01,2-1,Top 2,ball,9bcb95d1-071e-475a-b160-b17726d2be21
FT,94.7,,"Darvish, Yu","Springer, George",,2310,,14,2017-11-01,2-0,Top 2,called_strike,00216954-875c-4258-9729-42c423b0c6bf
FT,93.4,,"Darvish, Yu","Springer, George",,2182,,13,2017-11-01,1-0,Top 2,ball,dbc5e647-6b8b-4e8d-8a04-b7f126612a69
SL,79.2,,"Darvish, Yu","Springer, George",,2612,,14,2017-11-01,0-0,Top 2,blocked_ball,b2eaad82-9f8d-4f68-a34c-40de68d70df1
SL,89.5,,"Kershaw, Clayton","Springer, George",,2790,,1,2017-11-01,0-2,Top 5,swinging_strike,66f297e6-04ac-4948-aff6-4ddcfd8f78c3
CH,84.4,97.5,"Wood, Alex","Springer, George",319,1877,17,14,2017-11-01,0-2,Top 9,hit_into_play,167b7895-7f5c-48d8-aba0-f57743eb9b8c
FT,91.5,,"Wood, Alex","Springer, George",,2043,,3,2017-11-01,0-1,Top 9,swinging_strike,5b16cf3a-9e39-42d0-a925-58f25d18d976
FF,94.1,78.6,"Kershaw, Clayton","Springer, George",168,2450,13,12,2017-11-01,0-2,Top 5,foul,86896372-b7da-403c-9a0a-582380a4575a
FT,91.0,64.6,"Wood, Alex","Springer, George",112,1959,18,8,2017-11-01,0-0,Top 9,foul,1382811d-799b-41ee-8252-72958453213a
FF,93.6,68.6,"Kershaw, Clayton","Springer, George",9,2444,-13,4,2017-11-01,0-1,Top 5,foul,4c8a72c7-fc34-46f8-a1f3-c547c69bf012
CU,72.7,,"Kershaw, Clayton","Springer, George",,2390,,5,2017-11-01,0-0,Top 5,called_strike,9aafbc62-1edc-4fe3-a332-4561cebd3244
SL,82.7,92.9,"Jansen, Kenley","Springer, George",344,2319,22,14,2017-11-01,1-2,Top 7,hit_into_play,001f73db-e734-4f58-a542-7b39f1836a6e
FC,92.6,78.4,"Jansen, Kenley","Springer, George",187,2514,68,2,2017-11-01,1-2,Top 7,foul,cae83966-6464-472d-873f-e4c69c2b92db
SL,83.9,99.2,"Darvish, Yu","Springer, George",218,2634,13,8,2017-11-01,1-1,Top 1,hit_into_play,9bee3215-dd50-41ab-b4a4-edff9e665b5e
FC,90.8,,"Jansen, Kenley","Springer, George",,2485,,5,2017-11-01,1-1,Top 7,swinging_strike,421e2013-4cf9-4153-a7a5-164f4d6f91d0
FC,92.6,66.7,"Jansen, Kenley","Springer, George",166,2689,59,9,2017-11-01,1-0,Top 7,foul,1a4294b8-c6ba-4f36-a973-c338d7eb35b6
SL,83.9,,"Darvish, Yu","Springer, George",,2688,,5,2017-11-01,1-0,Top 1,called_strike,fd3dc849-a0f5-476e-80c1-c208dad3596c
FC,91.5,,"Jansen, Kenley","Springer, George",,2508,,14,2017-11-01,0-0,Top 7,ball,cd9bfafe-bdb1-4568-9d66-d9585338bedd
FF,96.0,,"Darvish, Yu","Springer, George",,2589,,11,2017-11-01,0-0,Top 1,ball,373cfe98-b2f6-4ab5-9f04-740f175f11f6
FF,89.5,104.4,"Hill, Rich","Springer, George",389,2531,30,9,2017-10-31,1-0,Top 3,hit_into_play,202ac717-f193-471f-97bc-2d1b4085ab8a
FF,90.8,,"Hill, Rich","Springer, George",,2410,,1,2017-10-31,0-0,Top 3,ball,e8161c0a-a3ad-4826-b78a-6d726f09bf9e
SL,86.0,80.4,"Maeda, Kenta","Springer, George",44,2586,1,8,2017-10-31,1-1,Top 7,hit_into_play,8944a55a-8195-4326-81f2-1658aca22af9
FT,94.4,,"Maeda, Kenta","Springer, George",,2390,,13,2017-10-31,0-1,Top 7,ball,9efbe111-2ddb-4a35-9cce-f39e0153712b
SL,86.5,,"Maeda, Kenta","Springer, George",,2574,,9,2017-10-31,0-0,Top 7,called_strike,3b3431ee-6568-46e8-af6d-901e197bb49e
FF,90.6,,"Hill, Rich","Springer, George",,2537,,12,2017-10-31,1-2,Top 1,swinging_strike,787a3f2a-36e2-404d-b474-5896f77867c7
FF,90.7,70.2,"Hill, Rich","Springer, George",3,2620,-33,6,2017-10-31,1-1,Top 1,foul,b615f396-f505-48ab-b731-4d8f3477b2d8
FF,90.5,,"Hill, Rich","Springer, George",,2577,,6,2017-10-31,1-0,Top 1,foul_tip,17db6b2a-d9a2-43f9-859d-37571994d05a
FF,90.4,,"Hill, Rich","Springer, George",,2657,,12,2017-10-31,0-0,Top 1,ball,b1b77bff-e554-45e0-ae08-1e647b4ffa62
SL,88.0,,"Kershaw, Clayton","Springer, George",,2613,,13,2017-10-29,3-2,Bot 5,ball,27df5d03-0f01-495b-8528-b8a277c30c2b
FF,93.2,100.7,"Kershaw, Clayton","Springer, George",222,2345,14,4,2017-10-29,3-2,Bot 5,foul,1dd2e806-8a45-4433-a7fa-64b637537161
SL,89.1,85.4,"Kershaw, Clayton","Springer, George",259,2578,40,9,2017-10-29,3-2,Bot 5,foul,ef5299e9-c8af-4c49-bf89-0611c311e6f6
FF,92.7,,"Kershaw, Clayton","Springer, George",,2436,,1,2017-10-29,3-1,Bot 5,called_strike,bb869a8d-d434-4ff1-8551-6d29f6ce86fb
SL,87.5,,"Kershaw, Clayton","Springer, George",,2624,,14,2017-10-29,2-1,Bot 5,ball,b56fcfc9-fda8-4095-a76e-abfaf00209f3
FF,93.7,,"Kershaw, Clayton","Springer, George",,2299,,6,2017-10-29,2-0,Bot 5,foul,efbcdf37-272a-478e-89e2-5de9fcfc4994
SL,88.3,,"Kershaw, Clayton","Springer, George",,2576,,14,2017-10-29,1-0,Bot 5,ball,3fcf38cd-6075-4da4-a2a5-600640d2ebc8
CU,73.0,,"Kershaw, Clayton","Springer, George",,2500,,13,2017-10-29,0-0,Bot 5,ball,88abfaeb-b11e-4c57-836d-c0ad52b7a40c
FF,92.9,,"Kershaw, Clayton","Springer, George",,2447,,13,2017-10-29,3-1,Bot 4,ball,c917c069-bd81-4ab8-9982-c8992634382a
FF,91.9,,"Kershaw, Clayton","Springer, George",,2386,,11,2017-10-29,2-1,Bot 4,ball,a70d4a5f-b518-483d-b436-047fd9c84844
FF,92.2,,"Kershaw, Clayton","Springer, George",,2359,,5,2017-10-29,2-0,Bot 4,swinging_strike,531dfa1b-e76e-4c2e-9631-56efc1c8774c
SL,87.0,,"Kershaw, Clayton","Springer, George",,2592,,14,2017-10-29,1-0,Bot 4,ball,3325076a-0031-47a7-8c5c-5e33dbad7570
SL,88.3,,"Kershaw, Clayton","Springer, George",,2521,,14,2017-10-29,0-0,Bot 4,ball,a2ef455d-586f-4bda-87f9-bda640a049a6
FC,92.3,,"Jansen, Kenley","Springer, George",,2544,,12,2017-10-29,3-1,Bot 10,ball,07469b33-f017-4f84-9cf8-f58a0b6052ec
FC,90.6,,"Jansen, Kenley","Springer, George",,2508,,3,2017-10-29,3-0,Bot 10,called_strike,dd90c24e-0698-4a31-9f78-ff99e786af47
FC,93.3,,"Jansen, Kenley","Springer, George",,2510,,14,2017-10-29,2-0,Bot 10,ball,cb53513b-9308-4357-b53b-ddcda33e3597
FC,91.1,,"Jansen, Kenley","Springer, George",,2549,,11,2017-10-29,1-0,Bot 10,ball,05e8ada2-cfa1-4e55-9c3b-09f2d70b08e3
FC,93.3,,"Jansen, Kenley","Springer, George",,2601,,12,2017-10-29,0-0,Bot 10,ball,fcb52a6b-fee2-4631-bac0-608e3bf66251
SL,90.8,95.1,"Stripling, Ross","Springer, George",193,2246,11,9,2017-10-29,3-2,Bot 8,hit_into_play,7d515988-1006-4eaf-8b28-063ec49bf667
FF,94.4,,"Stripling, Ross","Springer, George",,2272,,14,2017-10-29,2-2,Bot 8,ball,66812911-3e31-40d8-a6de-5e322c1fa7a1
SL,90.7,,"Stripling, Ross","Springer, George",,2315,,14,2017-10-29,1-2,Bot 8,ball,3336e077-1679-441a-9ac9-729daf61d37c
FF,93.0,,"Stripling, Ross","Springer, George",,2025,,1,2017-10-29,1-1,Bot 8,called_strike,43088a53-6cbc-416b-b0b5-5d611e80ecb3
SL,89.6,61.2,"Kershaw, Clayton","Springer, George",2,2503,-51,5,2017-10-29,0-1,Bot 1,hit_into_play,4f6bab5b-add5-4e9c-9ba0-93e23de456fe
SL,90.0,,"Stripling, Ross","Springer, George",,2312,,14,2017-10-29,0-1,Bot 8,ball,a011d0a6-15c6-4571-803f-dd61ddde81a7
SL,89.9,,"Stripling, Ross","Springer, George",,2193,,9,2017-10-29,0-0,Bot 8,called_strike,26cfa2a0-2530-47fd-a46b-87d106e4dbaf
